user_id,user_gender,user_age,user_occupation,user_income_range,referral_code_used,user_income_source,Saham_AUM,Saham_invested_amount
3751688,Female,47,IRT,< 10 Juta,used referral,Dari Orang Tua / Anak,1,9836.065573770491
3757263,Female,58,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,1,50000.0
3651808,Male,52,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,1,30000.0
3694019,Male,50,TNI/Polisi,Rp 10 Juta - 50 Juta,non referal,Keuntungan Bisnis,1,128419.38888888889
3740290,Male,64,Pensiunan,> Rp 100 Juta - 500 Juta,non referal,Keuntungan Bisnis,1,19354.83870967742
3768820,Male,60,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,1,59322.03389830508
3745146,Male,73,Others,< 10 Juta,used referral,Gaji,0,0.0
3345068,Female,50,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,1,37272.72727272727
3833828,Female,61,Guru,> Rp 50 Juta - 100 Juta,used referral,Gaji,1,55510.204081632655
3839758,Female,54,Guru,Rp 10 Juta - 50 Juta,used referral,Gaji,0,0.0
3850893,Male,53,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,1,6046.511627906977
3826803,Male,56,Swasta,Rp 10 Juta - 50 Juta,non referal,Lainnya,1,17209.302325581397
3788093,Female,53,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,0,0.0
3786289,Male,52,Pengusaha,< 10 Juta,used referral,Warisan,1,7250.0
3748704,Female,50,Pengusaha,Rp 10 Juta - 50 Juta,used referral,Dari Orang Tua / Anak,0,0.0
3782668,Male,54,Others,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,1264807.6923076923
3827012,Female,47,Swasta,Rp 10 Juta - 50 Juta,used referral,Gaji,1,78846.15384615384
735709,Female,47,IRT,< 10 Juta,non referal,Keuntungan Bisnis,1,70000.0
3662561,Male,61,Swasta,> Rp 50 Juta - 100 Juta,non referal,Undian,0,0.0
2244623,Male,61,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,1886521.7391304348
3069132,Male,53,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,383000.0
2010380,Female,47,Pengusaha,< 10 Juta,non referal,Tabungan,0,0.0
2663063,Female,74,IRT,Rp 10 Juta - 50 Juta,non referal,Gaji,0,0.0
3679780,Male,51,Swasta,< 10 Juta,non referal,Dari Orang Tua / Anak,0,0.0
1598521,Male,50,Pengusaha,> Rp 50 Juta - 100 Juta,non referal,Keuntungan Bisnis,1,3924000.0
3839208,Male,47,Swasta,> Rp 500 Juta - 1 Miliar,used referral,Gaji,1,3192244.897959184
3796582,Female,47,PNS,< 10 Juta,non referal,Gaji,1,258373.1896551724
3748002,Male,55,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,1,1850000.0
3742153,Female,51,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,17512586.20689655
3746961,Male,56,Others,> Rp 100 Juta - 500 Juta,non referal,Gaji,0,0.0
3733536,Female,56,Swasta,Rp 10 Juta - 50 Juta,non referal,Hasil Investasi,0,0.0
3751074,Male,54,Swasta,Rp 10 Juta - 50 Juta,non referal,Keuntungan Bisnis,1,53278.688524590165
3715510,Female,51,IRT,< 10 Juta,used referral,Dari Suami / istri,1,137307.6923076923
3768917,Male,54,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,251206.89655172414
3894270,Male,52,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,1,50000.0
3757344,Male,50,PNS,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,6188500.2
3875988,Female,54,IRT,< 10 Juta,non referal,Dari Orang Tua / Anak,0,0.0
3900533,Male,50,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,0,0.0
3830981,Male,54,PNS,< 10 Juta,non referal,Gaji,1,10000.0
3746588,Male,59,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,1,6427333.333333333
3864719,Male,53,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,1,6545208.0
3805072,Female,54,IRT,< 10 Juta,used referral,Undian,0,0.0
3831409,Male,50,Swasta,> Rp 50 Juta - 100 Juta,used referral,Gaji,1,171568.6274509804
3748593,Female,56,IRT,> Rp 100 Juta - 500 Juta,non referal,Gaji,0,0.0
3731608,Female,65,Pengusaha,> Rp 100 Juta - 500 Juta,non referal,Lainnya,0,0.0
3746306,Male,50,Pengusaha,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,70000.0
3840547,Female,51,IRT,> Rp 50 Juta - 100 Juta,used referral,Keuntungan Bisnis,1,135882.35294117648
1196195,Male,51,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,90178.57142857143
3880270,Male,47,Swasta,> Rp 50 Juta - 100 Juta,used referral,Gaji,1,322708.3333333333
3787804,Female,56,PNS,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,2629000.0
3736667,Male,67,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,40000.0
3874555,Male,54,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,1,100000.0
3880009,Female,59,Swasta,> Rp 50 Juta - 100 Juta,non referal,Dari Orang Tua / Anak,1,195833.33333333334
3757310,Male,51,PNS,Rp 10 Juta - 50 Juta,non referal,Gaji,0,0.0
3836811,Male,54,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,424807.6923076923
3848319,Female,54,Swasta,Rp 10 Juta - 50 Juta,non referal,Dari Orang Tua / Anak,1,348235.29411764705
3814256,Female,47,Others,> Rp 100 Juta - 500 Juta,used referral,Gaji,1,138545.45454545456
3890589,Female,47,IRT,Rp 10 Juta - 50 Juta,used referral,Dari Orang Tua / Anak,1,212.7659574468085
3792729,Male,47,Swasta,< 10 Juta,used referral,Tabungan,0,0.0
3827442,Male,53,Others,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,1561441.6923076923
3589584,Female,52,Swasta,< 10 Juta,non referal,Tabungan,0,0.0
3827659,Male,53,Swasta,Rp 10 Juta - 50 Juta,non referal,Keuntungan Bisnis,0,0.0
3885443,Female,47,PNS,Rp 10 Juta - 50 Juta,non referal,Gaji,1,27872.340425531915
3736054,Male,50,Guru,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,467704.91803278687
3896269,Male,50,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,475333.3333333333
3872034,Female,53,Swasta,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,1,14186.046511627907
3863427,Female,51,IRT,> Rp 100 Juta - 500 Juta,used referral,Keuntungan Bisnis,0,0.0
3846417,Male,51,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,0,0.0
3836302,Male,56,Others,< 10 Juta,non referal,Gaji,1,50000.0
3833703,Female,51,IRT,Rp 10 Juta - 50 Juta,non referal,Dari Orang Tua / Anak,1,701923.0769230769
3001390,Male,54,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,1,4557209.302325581
3870773,Male,55,Others,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,52672083.333333336
3844083,Female,58,IRT,Rp 10 Juta - 50 Juta,used referral,Gaji,1,5935999.1875
3783278,Male,51,Swasta,< 10 Juta,used referral,Gaji,1,206551.72413793104
3862690,Male,51,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,1,68163.26530612246
2220168,Male,59,Pensiunan,> Rp 50 Juta - 100 Juta,non referal,Tabungan,1,6898181.818181818
3734478,Female,60,PNS,> Rp 500 Juta - 1 Miliar,non referal,Gaji,0,0.0
3832112,Male,52,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,1351756.2307692308
3873462,Male,51,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,1,510208.3333333333
3754194,Female,50,Swasta,< 10 Juta,non referal,Gaji,1,50000.0
3881720,Male,47,Pengusaha,< 10 Juta,non referal,Warisan,1,141777.77777777778
3925464,Male,55,Pengusaha,< 10 Juta,non referal,Keuntungan Bisnis,1,30000.0
3941817,Female,62,PNS,< 10 Juta,non referal,Lainnya,0,0.0
3902727,Female,58,Swasta,< 10 Juta,non referal,Lainnya,1,625000.0
3949265,Female,51,IRT,< 10 Juta,used referral,Gaji,0,0.0
3908817,Female,71,IRT,< 10 Juta,used referral,Undian,0,0.0
3913216,Female,55,PNS,< 10 Juta,used referral,Gaji,1,3000000.0
3909445,Male,50,Swasta,< 10 Juta,non referal,Keuntungan Bisnis,1,30000.0
3913945,Male,51,Others,> Rp 1 Miliar,non referal,Keuntungan Bisnis,1,231363.63636363635
3924629,Female,54,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,1,39230.769230769234
3936386,Female,55,IRT,Rp 10 Juta - 50 Juta,non referal,Hasil Investasi,1,47058.82352941176
3919928,Female,51,Swasta,Rp 10 Juta - 50 Juta,used referral,Gaji,0,0.0
3924080,Female,52,Swasta,Rp 10 Juta - 50 Juta,used referral,Gaji,1,1395348.8372093022
3940572,Female,54,IRT,Rp 10 Juta - 50 Juta,non referal,Gaji,1,125897.43589743589
3949038,Female,65,Swasta,Rp 10 Juta - 50 Juta,used referral,Gaji,0,0.0
3950969,Male,61,Guru,Rp 10 Juta - 50 Juta,non referal,Keuntungan Bisnis,1,290000.0
3920298,Male,52,Swasta,Rp 10 Juta - 50 Juta,used referral,Tabungan,1,50000.0
3943646,Male,54,Swasta,Rp 10 Juta - 50 Juta,non referal,Lainnya,1,10000.0
3949129,Male,53,Swasta,> Rp 50 Juta - 100 Juta,used referral,Warisan,1,40000.0
3946315,Male,52,Swasta,> Rp 50 Juta - 100 Juta,used referral,Gaji,1,162926.82926829267
3916759,Female,53,IRT,> Rp 50 Juta - 100 Juta,non referal,Keuntungan Bisnis,1,22093.023255813954
3933455,Female,47,IRT,> Rp 50 Juta - 100 Juta,non referal,Dari Orang Tua / Anak,0,0.0
3923048,Male,50,Swasta,> Rp 50 Juta - 100 Juta,non referal,Keuntungan Bisnis,1,1410000.0
3927334,Female,53,Swasta,> Rp 50 Juta - 100 Juta,non referal,Dari Orang Tua / Anak,1,370000.0
3917646,Male,57,Pengusaha,> Rp 50 Juta - 100 Juta,used referral,Keuntungan Bisnis,0,0.0
3933937,Male,47,Pengusaha,> Rp 50 Juta - 100 Juta,used referral,Keuntungan Bisnis,0,0.0
3906921,Male,47,Guru,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,159500.0
3908248,Female,52,IRT,> Rp 50 Juta - 100 Juta,used referral,Dari Orang Tua / Anak,1,644000.0
3903656,Male,57,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,10096904.761904761
3917993,Female,50,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,1,1845238.0952380951
3918146,Female,52,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,0,0.0
3906793,Female,57,IRT,> Rp 100 Juta - 500 Juta,non referal,Keuntungan Bisnis,1,38810243.90243903
3839384,Male,51,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,1,234237.34615384616
3922860,Male,47,Swasta,> Rp 100 Juta - 500 Juta,non referal,Keuntungan Bisnis,1,122941.17647058824
3940555,Female,60,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,0,0.0
3916717,Male,47,Pengusaha,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,736279.0697674418
3913104,Male,53,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,2663409.090909091
3917880,Female,47,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,1,419069.76744186046
3916101,Male,51,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,365116.27906976745
3908934,Male,61,Others,> Rp 100 Juta - 500 Juta,used referral,Keuntungan Bisnis,1,1590.909090909091
3932521,Male,47,Swasta,> Rp 500 Juta - 1 Miliar,non referal,Gaji,1,178497.07142857142
4449875,Female,50,IRT,< 10 Juta,used referral,Dari Suami / istri,1,40000.0
4429451,Male,55,Others,< 10 Juta,used referral,Gaji,0,0.0
4450318,Female,55,IRT,< 10 Juta,used referral,Dari Orang Tua / Anak,0,0.0
4437285,Male,60,Pengusaha,< 10 Juta,used referral,Gaji,0,0.0
4439908,Male,50,PNS,Rp 10 Juta - 50 Juta,non referal,Gaji,1,40000.0
4439433,Female,51,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,0,0.0
4429275,Female,47,PNS,Rp 10 Juta - 50 Juta,non referal,Gaji,1,143333.33333333334
4418563,Female,60,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0.0
4415518,Male,56,Others,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0.0
4424618,Female,50,IRT,Rp 10 Juta - 50 Juta,used referral,Dari Suami / istri,0,0.0
4412730,Male,52,Pengusaha,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,1,10000.0
4439046,Male,56,Others,Rp 10 Juta - 50 Juta,used referral,Gaji,1,50000.0
4416800,Female,54,IRT,Rp 10 Juta - 50 Juta,used referral,Dari Suami / istri,1,6666.666666666667
4410283,Female,57,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0.0
4414911,Female,51,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,1,3333.3333333333335
4434894,Male,52,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,0,0.0
4447711,Female,47,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,40000.0
4423704,Female,50,IRT,> Rp 50 Juta - 100 Juta,used referral,Keuntungan Bisnis,1,3333.3333333333335
4418395,Female,63,IRT,> Rp 50 Juta - 100 Juta,used referral,Tabungan,0,0.0
4432172,Male,53,Pengusaha,> Rp 50 Juta - 100 Juta,used referral,Keuntungan Bisnis,0,0.0
4423632,Male,56,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,16666.666666666668
4416849,Female,47,IRT,> Rp 50 Juta - 100 Juta,used referral,Dari Suami / istri,1,10000.0
4418969,Female,62,IRT,> Rp 50 Juta - 100 Juta,used referral,Warisan,0,0.0
4412996,Male,55,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,40000.0
4436955,Female,52,PNS,> Rp 50 Juta - 100 Juta,used referral,Gaji,1,1583333.3333333333
4426995,Female,54,Pengusaha,> Rp 50 Juta - 100 Juta,used referral,Keuntungan Bisnis,0,0.0
4428167,Female,56,IRT,> Rp 50 Juta - 100 Juta,used referral,Tabungan,0,0.0
4440402,Male,63,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,60000.0
4413281,Male,51,PNS,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,40000.0
4438090,Male,50,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,40000.0
4428996,Female,54,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,0,0.0
4420637,Male,58,Others,> Rp 100 Juta - 500 Juta,used referral,Gaji,1,240000.0
4431630,Male,51,PNS,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,500000.0
4417165,Female,53,IRT,> Rp 100 Juta - 500 Juta,used referral,Keuntungan Bisnis,0,0.0
4411478,Male,53,Others,> Rp 100 Juta - 500 Juta,used referral,Keuntungan Bisnis,0,0.0
4202511,Male,63,Others,> Rp 500 Juta - 1 Miliar,non referal,Gaji,1,50000.0
4201752,Male,61,Swasta,< 10 Juta,non referal,Gaji,1,30000.0
4170965,Female,51,IRT,< 10 Juta,non referal,Dari Suami / istri,1,306842.1052631579
4184885,Female,56,Guru,< 10 Juta,non referal,Dari Orang Tua / Anak,1,40000.0
4224419,Male,50,Swasta,< 10 Juta,non referal,Keuntungan Bisnis,1,656250.0
4156707,Female,53,IRT,< 10 Juta,non referal,Lainnya,1,130000.0
4130584,Female,53,IRT,< 10 Juta,used referral,Keuntungan Bisnis,0,0.0
4200770,Female,53,IRT,< 10 Juta,used referral,Dari Orang Tua / Anak,0,0.0
4184146,Male,60,Swasta,< 10 Juta,non referal,Dari Orang Tua / Anak,1,91764.70588235294
4240770,Female,57,IRT,< 10 Juta,used referral,Gaji,0,0.0
4203886,Female,69,IRT,< 10 Juta,used referral,Gaji,0,0.0
4119078,Female,56,IRT,< 10 Juta,used referral,Gaji,0,0.0
4198267,Male,55,Swasta,< 10 Juta,non referal,Gaji,1,45555.555555555555
4156897,Male,51,Others,< 10 Juta,used referral,Gaji,0,0.0
4153649,Female,52,IRT,< 10 Juta,used referral,Gaji,0,0.0
4238285,Female,53,IRT,< 10 Juta,used referral,Keuntungan Bisnis,0,0.0
4179162,Female,51,Swasta,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,1,218888.88888888888
4174457,Female,53,Guru,Rp 10 Juta - 50 Juta,non referal,Gaji,0,0.0
4216371,Female,54,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,1,3529.4117647058824
4221422,Male,52,Swasta,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0.0
4181548,Male,63,PNS,Rp 10 Juta - 50 Juta,non referal,Gaji,1,823684.2105263158
4134353,Female,51,IRT,Rp 10 Juta - 50 Juta,used referral,Gaji,0,0.0
4116746,Male,47,Swasta,Rp 10 Juta - 50 Juta,non referal,Keuntungan Bisnis,0,0.0
4247706,Male,47,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,0,0.0
4112940,Female,51,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,1,846.1538461538462
4203383,Female,52,IRT,Rp 10 Juta - 50 Juta,used referral,Dari Suami / istri,0,0.0
4230066,Female,52,IRT,Rp 10 Juta - 50 Juta,non referal,Gaji,0,0.0
4215910,Female,47,IRT,Rp 10 Juta - 50 Juta,non referal,Keuntungan Bisnis,0,0.0
4137567,Female,56,Others,Rp 10 Juta - 50 Juta,non referal,Dari Orang Tua / Anak,1,70000.0
4246871,Male,50,Swasta,Rp 10 Juta - 50 Juta,used referral,Gaji,1,40000.0
4161947,Male,52,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,1,40000.0
4184112,Male,56,Pengusaha,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0.0
4224071,Male,54,Others,Rp 10 Juta - 50 Juta,used referral,Gaji,1,6970769.230769231
4151208,Female,55,Swasta,Rp 10 Juta - 50 Juta,non referal,Dari Orang Tua / Anak,1,50000.0
4157513,Female,51,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0.0
4148792,Female,55,Others,Rp 10 Juta - 50 Juta,used referral,Gaji,0,0.0
4120099,Female,52,IRT,Rp 10 Juta - 50 Juta,used referral,Gaji,0,0.0
4194196,Male,71,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,1,53333.333333333336
4176798,Female,56,IRT,Rp 10 Juta - 50 Juta,used referral,Tabungan,0,0.0
4160675,Female,55,IRT,Rp 10 Juta - 50 Juta,non referal,Gaji,0,0.0
4170311,Female,60,IRT,Rp 10 Juta - 50 Juta,non referal,Dari Orang Tua / Anak,1,130000.0
4178163,Female,50,Swasta,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0.0
4184373,Female,52,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0.0
4230415,Male,47,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,470000.0
4124406,Male,56,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,64000.0
4219725,Male,52,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,80000.0
4200890,Male,54,Swasta,> Rp 50 Juta - 100 Juta,used referral,Gaji,1,327333.3333333333
4226062,Male,51,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,111250.0
4176537,Male,55,TNI/Polisi,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,541764.7058823529
4231060,Male,51,Swasta,> Rp 50 Juta - 100 Juta,used referral,Gaji,1,100000.0
4247239,Male,59,PNS,> Rp 50 Juta - 100 Juta,non referal,Tabungan,1,590769.2307692308
4234063,Male,50,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,0,0.0
4226015,Male,47,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,560000.0
4245731,Female,47,Swasta,> Rp 50 Juta - 100 Juta,used referral,Gaji,1,45000.0
4203059,Female,52,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,40000.0
4192246,Female,51,Swasta,> Rp 50 Juta - 100 Juta,used referral,Keuntungan Bisnis,0,0.0
4193601,Male,52,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,347777.77777777775
4237662,Male,53,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,10473846.153846154
4121361,Female,47,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,5957500.0
4225884,Male,51,Pengusaha,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,924666.6666666666
4157920,Female,55,Guru,> Rp 100 Juta - 500 Juta,non referal,Gaji,0,0.0
4199398,Female,50,IRT,> Rp 100 Juta - 500 Juta,used referral,Warisan,1,270000.0
4158934,Male,52,Swasta,> Rp 100 Juta - 500 Juta,non referal,Keuntungan Bisnis,1,98500.0
4211957,Female,51,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,1555555.5555555555
4208596,Female,51,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,50000.0
4234673,Male,51,PNS,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,11741666.666666666
4153547,Male,56,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,0,0.0
4132281,Male,51,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,2706666.6666666665
4190094,Female,51,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,774444.4444444445
4214970,Male,47,Pengusaha,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,70769.23076923077
4168059,Male,55,Swasta,> Rp 100 Juta - 500 Juta,non referal,Keuntungan Bisnis,1,285714.28571428574
4139064,Female,52,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,40000.0
4219620,Female,52,IRT,> Rp 100 Juta - 500 Juta,non referal,Keuntungan Bisnis,1,91250000.0
4088922,Male,53,Others,> Rp 500 Juta - 1 Miliar,non referal,Gaji,0,0.0
4061769,Female,62,IRT,> Rp 500 Juta - 1 Miliar,used referral,Keuntungan Bisnis,1,12927.67857142857
4103060,Female,47,IRT,< 10 Juta,non referal,Keuntungan Bisnis,0,0.0
3984475,Female,58,IRT,< 10 Juta,non referal,Dari Orang Tua / Anak,1,211081.0810810811
3966136,Female,50,Guru,< 10 Juta,used referral,Gaji,0,0.0
3967815,Female,54,IRT,< 10 Juta,non referal,Lainnya,0,0.0
4060677,Male,56,Pengusaha,< 10 Juta,used referral,Lainnya,1,10000.0
4102845,Female,54,IRT,< 10 Juta,used referral,Dari Orang Tua / Anak,0,0.0
3995881,Male,54,Swasta,< 10 Juta,non referal,Gaji,0,0.0
3963555,Male,52,Swasta,< 10 Juta,non referal,Gaji,1,3700000.0
3963309,Male,59,PNS,< 10 Juta,used referral,Gaji,1,30000.0
4027067,Female,54,IRT,< 10 Juta,used referral,Undian,0,0.0
4048765,Male,57,Swasta,< 10 Juta,used referral,Lainnya,1,2142.8571428571427
4020227,Female,61,Others,< 10 Juta,used referral,Gaji,0,0.0
3954429,Female,51,IRT,< 10 Juta,used referral,Gaji,1,3000.0
4062831,Female,71,IRT,< 10 Juta,used referral,Keuntungan Bisnis,0,0.0
4076945,Female,51,IRT,< 10 Juta,used referral,Lainnya,1,2292.3214285714284
4048144,Female,55,IRT,< 10 Juta,used referral,Gaji,0,0.0
4034981,Female,47,IRT,< 10 Juta,used referral,Undian,0,0.0
3970093,Female,58,PNS,Rp 10 Juta - 50 Juta,non referal,Gaji,1,75000.0
4029600,Female,66,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,0,0.0
4035472,Female,50,Pengusaha,Rp 10 Juta - 50 Juta,non referal,Keuntungan Bisnis,1,18013.121212121212
4007351,Male,52,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,1,542727.2727272727
4065307,Female,50,IRT,Rp 10 Juta - 50 Juta,non referal,Keuntungan Bisnis,1,60000.0
4019199,Female,52,IRT,Rp 10 Juta - 50 Juta,non referal,Gaji,1,78620.68965517242
4021135,Male,58,Swasta,Rp 10 Juta - 50 Juta,non referal,Dari Orang Tua / Anak,1,1844545.4545454546
3989948,Female,50,Swasta,Rp 10 Juta - 50 Juta,used referral,Dari Orang Tua / Anak,0,0.0
